Meeting Title: Invitation: Senior Engineering Manager at Pennylane
Date: Jul 9
Meeting participants: Greco Sebastian

Transcript:
 Matthieu Gendreau: Seb. Astian.  
Me: Good morning. Oh hello. Hello there. Good morning.  Matthieu Gendreau: Can you hear. Me?  
Me: Yes can you.  Matthieu Gendreau: Yeah, I think it's good.  
Me: Nice good morning.  Matthieu Gendreau: Morning. Let me find my notes quickly.  
Me: Sure.  Matthieu Gendreau: My connection is not good. Just tell me because I can move to a spot where I have my Wi-Fi.  
Me: Now I wouldn't have noticed if you wouldn't. Tell me.  Matthieu Gendreau: Okay, so thanks for taking the time. So for today, what I suggest is maybe you can start with a round of introduction. And then we have multiple questions for you. And then I will make sure to make 10 or 15 minutes at the end for your questions. If you have questions about the whole, about pen range. Sound good?  
Me: Yep looks like a.  Matthieu Gendreau: Okay.  
Me: Block.  Matthieu Gendreau: Let me start then. Sebastieu. I'm a senior engineering manager at any lane to give you a bit of background. My most significant experience with opinion. Was. An entrepreneur. I created three companies. One of them was called family. I was founder of. CTO. The company was basically building a mobile bank in Niger. Ia. So we started by giving out small loans. And eventually after three years, we started building bank accounts, savings accounts, etc. The company grew quite a lot because when I left in 2021. I think we. Were. We had like 2 million customers in Algeria and as CTO, I've been a team of around 35 people. Between Paris and Lag. Os. So. That's it. And then to jump to p, I joined one and a half years ago as engineering manager first of team platform. And then I was promoted eventually to a group of team called also platform. So I kept the same scope with mult diameter. And for the last three months I've also moved to being charge of a new group of team. Building a carbon system. Which is something because I already built a bank in. And to give more details about what I do at pending. So in the platform types, I have four teams. One of them is called financial access. The scope is around login to a fair on the internal dimension system. For example, one of the ongoing projects is to allow large. Customers on our platform to define their whole set of own set of rules for the employees because we started.  
Me: Sorry.  Matthieu Gendreau: System role for the employ. Ees.  
Me: Okay.  Matthieu Gendreau: So we start having some really specific needs like to say, okay, my invoicing manager, I want him to. Basically be able to see invoices, but hide, maybe hide the high band for him. Or things like that. So I think at first we try. To find a good set of permissions which we are working for all the invoicing managers of all companies. And then I think because we are embodying more and more large companies, now we have more advanced needs and we need to basically. Allow companies on our platform, especially large companies to define their own permission for their own users. Of their own. Employee. S. Another team is the devops quad taking care of our kubernetes cluster database, etc. I have part of my team working on. A sharding project. So we have currently, I think, the largest database that admazon can provide us. So we can't really scale any more vertically. So the next step is to scale horizontally. And what we have a large project to refactor the applications to make sure that we. Basically kind of different companies in different shard of the database.  
Me: You are using sharp I was trying to prepare for this and I was saying like probably they have a lot of huge databases so I was reading a bit of you using passwords right.  Matthieu Gendreau: Yeah, yeah. I think we did a great job at optimizing it and I think it was. Amazing while it lasted, but I think we have reached really a point where there is no other choice but to sharp.  
Me: Yeah yeah.  Matthieu Gendreau: So about as much in the index. Another part of my team is working on developer experience. So because we are in the context of a mono repo, we have more than 100 commits per day on the main branch. So we need to make sure that when software engineers switch branches, they have kind of a magical experience around migrations dependencies of the. Tools and things that abstract the complexity, which is taken care by the local science. Team. And last but not least, I'm managing the front administrator. Team, which mainly takes care of the design system used by all the engineers at the. End. That's from and as for the core banking system. Track, which is quite new. So we're already providing bulk accounts to our customers, but it's through a bunch as a service partner called swam and we're in the process of. Basically applying to get our own payment establishment license. And to replace then that's will keep the same products for our user. So we replace the engine behind instead of having a circuit will have our own co-packing system. And so for now I have two teams. One of them is taking care of connecting to safer payments and the other ones is handling car. Payments. But I think the teams are like two, three months old. The goal is to be live end of next year. And I think that's it for me. To you, Seb. Astian.  
Me: Okay I go I'm going to do like tlvr and then we can deep dive on whatever you think it's needed I'm going to start with personally I'm argentinian so I have been living in Italy for the past 10 years now. So I hope your team and my team see again in the in the final yeah I don't know if that's possible but yeah and I'm a father of four year old and and then I have been in for the past three years an engineer leader in riverside is started as a small company I did a whole 4.5 years there I started as a part of the six developer team and 20 people the company and in these four and a half years when I left we were 110 engineers and 300 in total in the company so I started there as a full stack senior developer moved to engineer manager for a year and a half and then another year and some eight months I was like doing what we call group leads there so I manage four different teams in four different areas one of my teams was the platform team by the way and then there were feature teams where growth business and publishing two teams I basically. Hire and created from scratch. The other two were like the former platform team and the growth team that already existed that came under me. For a total of 27 people the group okay before that I don't know if you. Want to go back in the years.  Matthieu Gendreau: To deep dive a bit to me on reverse side. Can you explain to me a bit what is the product, what problem you are solving for customers.  
